model_id,model,p,q,experiment,varying_parameter,x,method,method_label,mean,se,paper_repetitions,is_horizontal_reference,source_kind,source_pdf,pdf_page
0,ModelI,100,50,exp3,r_s,7,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,10,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,15,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,20,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,0,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,3,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,5,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,7,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,10,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,15,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,20,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,0,SMART_fixed,SMART (fixed ranks),0.00784300,0.00010479,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,3,SMART_fixed,SMART (fixed ranks),0.00739554,0.00012138,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,5,SMART_fixed,SMART (fixed ranks),0.00722524,0.00012398,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,7,SMART_fixed,SMART (fixed ranks),0.00710139,0.00012200,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,10,SMART_fixed,SMART (fixed ranks),0.00746345,0.00012017,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,15,SMART_fixed,SMART (fixed ranks),0.00834095,0.00011136,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,20,SMART_fixed,SMART (fixed ranks),0.00920536,0.00010170,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,0,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,3,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,5,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,7,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,10,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,15,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,20,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.01,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.02,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.05,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.1,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.5,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.01,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.02,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.05,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.1,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.5,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.01,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.02,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.05,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.1,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.5,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.01,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.02,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.05,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.1,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.5,RSSVD,RSSVD,0.03395500,0.00023685,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0,SMART_fixed,SMART (fixed ranks),0.00468498,0.00004253,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.01,SMART_fixed,SMART (fixed ranks),0.00746345,0.00012017,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.02,SMART_fixed,SMART (fixed ranks),0.01213671,0.00026328,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.05,SMART_fixed,SMART (fixed ranks),0.01954728,0.00032821,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.1,SMART_fixed,SMART (fixed ranks),0.02819687,0.00045491,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.5,SMART_fixed,SMART (fixed ranks),0.02162862,0.00011029,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0,SMART,SMART,0.00447865,0.00006745,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.01,SMART,SMART,0.00715496,0.00012002,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.02,SMART,SMART,0.01084216,0.00020353,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.05,SMART,SMART,0.01918237,0.00034484,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.1,SMART,SMART,0.02214134,0.00013629,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp4,sigma0,0.5,SMART,SMART,0.02168905,0.00011532,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
1,ModelII,150,100,exp1,n,300,RRR,RRR,0.01306800,0.00004360,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model2.pdf,1
1,ModelII,150,100,exp1,n,500,RRR,RRR,0.00873800,0.00002255,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model2.pdf,1
1,ModelII,150,100,exp1,n,700,RRR,RRR,0.00704600,0.00001997,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model2.pdf,1
